0.0, 1.0, 0.98
0.0204082, 1.0, 0.98
0.0408163, 1.0, 0.98
0.0612245, 1.0, 0.98
0.0816327, 1.0, 0.98
0.102041, 1.0, 0.98
0.122449, 1.0, 0.98
0.142857, 1.0, 0.96
0.163265, 1.0, 0.92
0.183673, 0.95, 0.88
0.204082, 0.9, 0.86
0.22449, 0.9, 0.82
0.244898, 0.85, 0.82
0.265306, 0.8, 0.76
0.285714, 0.8, 0.7
0.306122, 0.7, 0.62
0.326531, 0.55, 0.54
0.346939, 0.55, 0.48
0.367347, 0.45, 0.36
0.387755, 0.45, 0.24
0.408163, 0.35, 0.24
0.428571, 0.35, 0.22
0.44898, 0.35, 0.18
0.469388, 0.3, 0.16
0.489796, 0.3, 0.1
0.510204, 0.25, 0.1
0.530612, 0.25, 0.1
0.55102, 0.25, 0.1
0.571429, 0.25, 0.1
0.591837, 0.25, 0.06
0.612245, 0.25, 0.06
0.632653, 0.25, 0.06
0.653061, 0.25, 0.06
0.673469, 0.25, 0.04
0.693878, 0.25, 0.04
0.714286, 0.2, 0.04
0.734694, 0.1, 0.04
0.755102, 0.05, 0.02
0.77551, 0.05, 0.02
0.795918, 0.05, 0.02
0.816327, 0.05, 0.02
0.836735, 0.05, 0.02
0.857143, 0.05, 0.02
0.877551, 0.05, 0.02
0.897959, 0.05, 0.02
0.918367, 0.05, 0.02
0.938776, 0.05, 0.02
0.959184, 0.05, 0.0
0.979592, 0.05, 0.0
1.0, 0.05, 0.0
